,Filename,Role,Seniority Level,Employer/Recruiter,Company,Industry,Skills Match,Link,Word Count_x,Text,Masters,PhD,Higher Education,none,bt,tt,Clean Text,bt_cats,skills_cats,tt_cats
6,desc7,Data Scientist,Entry level,R,Third Republic - Recruitment Solutions for Digital Transformation,"Information Technology & Services,  Computer Software,  Staffing & Recruiting",0.894736842,https://www.linkedin.com/jobs/search/?currentJobId=1829649659&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom,206,data scientist london hiring better expanding horizons solving real world challenges ! working client offer truly rewarding professional opportunities great salary part access top clients working ground shaking projects reshaping new markets exciting position experienced dynamic data scientist build statistical models solve specific operational problems predicting equipment failure mentor team colleagues collaborate talented data scientists leading client organizations work clients ’ entire data ecosystem understand requirements optimize clients performance needs gather meaningful insights data apply data science achieve measurable result crime improve healthcare optimize manufacturing requirements advanced degree quantitative discipline statistics mathematics econometrics economics 5 years deep technical experience predictive analytics machine learning good expertise r python julia sql gmpl deep understanding tensorflow expert knowledge data science support vector machines neural nets deep learning experience leading teams mentoring others ready travel around london shouldn ’ t miss opportunity attractive salary £60000 £85000 pa balanced worklife friendly supportive work culture third republic new breed agency helping people skilled advanced technologies careers plethora unique job opportunities people skilled salesforce workday mulesoft devops aws google cloud azure architecture software sales please contact us 0203 762 2667 would like find current market trends services offer cloudcareers talent management service helping people access hidden job market data sciencedata scientistalgorithms cloud platforms,0,0,0,0.5,0.4,0.1,data scientist london hiring better expanding horizons solving real world challenges working client offer truly rewarding professional opportunities great salary part access top clients working ground shaking projects reshaping new markets exciting position experienced dynamic data scientist build statistical models solve specific operational problems predicting equipment failure mentor team colleagues collaborate talented data scientists leading client organizations work clients entire data ecosystem understand requirements optimize clients performance needs gather meaningful insights data apply data science achieve measurable result crime improve healthcare optimize manufacturing requirements advanced degree quantitative discipline statistics mathematics econometrics economics DIGIT years deep technical experience predictive analytics machine learning good expertise r python julia sql gmpl deep understanding tensorflow expert knowledge data science support vector machines neural nets deep learning experience leading teams mentoring others ready travel around london miss opportunity attractive salary DIGIT DIGIT pa balanced worklife friendly supportive work culture third republic new breed agency helping people skilled advanced technologies careers plethora unique job opportunities people skilled salesforce workday mulesoft devops aws google cloud azure architecture software sales please contact us DIGIT DIGIT DIGIT would like find current market trends services offer cloudcareers talent management service helping people access hidden job market data sciencedata scientistalgorithms cloud platforms,"(0.2, 0.4]","(0.8, 1.0]","(-0.001, 0.2]"
25,desc26,Data Scientist,Entry level,E,Aiimi,"Marketing & Advertising,  Information Technology & Services,  Computer Software",0.916666667,https://www.linkedin.com/jobs/search/?currentJobId=1705464664&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25,559,you join aiimi part data science team working clients across multiple sectors helping explore next generation data science techniques tools drive incremental business value data assets previous experience data science asset management intensive environment passion information data content used drive business value would ideal role ! client facing role see work exciting client projects throughout uk due willingness travel working away home essential role requirements responsible collaborating business subject matter experts discover information hidden various sources content data helping clients make smarter decisions reduce service failure deliver better outcomes customer base begin role aiimi primary focus applying data mining techniques statistical analysis building high quality predictive algorithms models using machine learning techniques classify data content build recommendation systems role involved following areas liaising clients information used context relevant easily consumed need analysing interpret patterns trends developing new innovative ways working order drive efficiencies business creating new triggers associated interventions affect future outcomes provedisproving hypothesis theories facts informed points view supporting strategic planning fulfilling timely reporting requirements including dashboards balanced scorecards ensuring new models reports data architectures promoted published centralised selfservice data warehouses required data engineering analysis building machine learning models using python sql responsible building optimizing classifiers using machine learning techniques data mining statistical analysis using stateoftheart methods extending data third party publicly available source information identifying new data collection processes include information relevant building analytic systems profiling cleansing verifying quality data used analysis identifying root cause issues poor data quality working data content owners identify new processes remedy creating automated anomalyerror detection systems measuring accuracy predictive models continually improving performance presenting analytical results clear manner using visualisation tools utilise user centred design methodologies personalise maximise end user experienceinformation strategies data management content management business intelligence mobile collaborationsocial business process managementworkflow digital employee customer information management steering group – policy governance security accountabilities analytics identify patterns data working business interpret meaning associated business value find ways capturing insight appropriate internal external sources content data find ways extract data content classification content analytics easily analysed integrated data sources visualisation information relevant context consumable cost benefits analysis return investment analysis risk assessment business case development support transformation identify data quality issues identify root cause initiative transformation improve data capture associated data quality provide advice support answer queries determine route cause analysis issues support incidents emergencies provide support collating information required subject access requests legal matters customer requests complaints year book regulation business plans performance reviews budgets strategic programmes supply data extracts colleague analysis requirements governance ensure information management policies associated policies adhered noncompliance breaches disclosed contribute continual improvement information strategy associated policies standards contribute data management strategy associated master data management metadata management data quality data modelling data governance policies collaborate members information governance groups information communities practice ensure information quality metrics definitions required commentary added reports publication ensures information made available people need jobs benefits competitive starting salary 10 basic salary flexible benefits include death service critical illness cover standard plus private healthcare dental pension etc 10 basic salary bonus 25 days annual leave plus bank holidays receive additional day annual leave every 2 years employment aiimi equal opportunities employer applicants selected solely based relevant aptitudes skills abilities line job applying applicant shall receive less favourable treatment grounds sex marital status civil partnership status transgender status pregnancy maternity race nationality ethnic origin religion belief sexual orientation disability age exclusive list,1,0,1,0.3,0.4,0.3,you join aiimi part data science team working clients across multiple sectors helping explore next generation data science techniques tools drive incremental business value data assets previous experience data science asset management intensive environment passion information data content used drive business value would ideal role client facing role see work exciting client projects throughout uk due willingness travel working away home essential role requirements responsible collaborating business subject matter experts discover information hidden various sources content data helping clients make smarter decisions reduce service failure deliver better outcomes customer base begin role aiimi primary focus applying data mining techniques statistical analysis building high quality predictive algorithms models using machine learning techniques classify data content build recommendation systems role involved following areas liaising clients information used context relevant easily consumed need analysing interpret patterns trends developing new innovative ways working order drive efficiencies business creating new triggers associated interventions affect future outcomes provedisproving hypothesis theories facts informed points view supporting strategic planning fulfilling timely reporting requirements including dashboards balanced scorecards ensuring new models reports data architectures promoted published centralised selfservice data warehouses required data engineering analysis building machine learning models using python sql responsible building optimizing classifiers using machine learning techniques data mining statistical analysis using stateoftheart methods extending data third party publicly available source information identifying new data collection processes include information relevant building analytic systems profiling cleansing verifying quality data used analysis identifying root cause issues poor data quality working data content owners identify new processes remedy creating automated anomalyerror detection systems measuring accuracy predictive models continually improving performance presenting analytical results clear manner using visualisation tools utilise user centred design methodologies personalise maximise end user experienceinformation strategies data management content management business intelligence mobile collaborationsocial business process managementworkflow digital employee customer information management steering group policy governance security accountabilities analytics identify patterns data working business interpret meaning associated business value find ways capturing insight appropriate internal external sources content data find ways extract data content classification content analytics easily analysed integrated data sources visualisation information relevant context consumable cost benefits analysis return investment analysis risk assessment business case development support transformation identify data quality issues identify root cause initiative transformation improve data capture associated data quality provide advice support answer queries determine route cause analysis issues support incidents emergencies provide support collating information required subject access requests legal matters customer requests complaints year book regulation business plans performance reviews budgets strategic programmes supply data extracts colleague analysis requirements governance ensure information management policies associated policies adhered noncompliance breaches disclosed contribute continual improvement information strategy associated policies standards contribute data management strategy associated master data management metadata management data quality data modelling data governance policies collaborate members information governance groups information communities practice ensure information quality metrics definitions required commentary added reports publication ensures information made available people need jobs benefits competitive starting salary DIGIT basic salary flexible benefits include death service critical illness cover standard plus private healthcare dental pension etc DIGIT basic salary bonus DIGIT days annual leave plus bank holidays receive additional day annual leave every DIGIT years employment aiimi equal opportunities employer applicants selected solely based relevant aptitudes skills abilities line job applying applicant shall receive less favourable treatment grounds sex marital status civil partnership status transgender status pregnancy maternity race nationality ethnic origin religion belief sexual orientation disability age exclusive list,"(0.2, 0.4]","(0.8, 1.0]","(0.2, 0.4]"
35,desc36,Data Scientist,Entry level,E,Jagex,"information Technology & Services,  Computer Software,  Internet",1,https://www.linkedin.com/jobs/search/?currentJobId=1881039075&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25,434,important note wonderful friends followers around world jagex pausing search talented people join ranks we ’ re successful robust growing business light current situation concerning coronavirus already made changes way recruit course mindful following necessary processes ensure safety staff anyone might come contact jagex switched working almost entirely remotely line recruitment selection process moved entirely remote one video calls preferred method interview hiring managers engaged wellprepared sincerely look forward talking soon team expert recruiters touch talk process changes expect don ’ t delay get application today ! company overview leader creating deep engaging experiences pc mobile jagex founded 2001 today one uk ’ s biggest respected video game developers publishers famed flagship mmos runescape old school runescape jagex welcomed 260million player accounts world created $ 1bn lifetime franchise revenue today runescape franchise exists beyond running games live operations titles living games connect inspire millions players content experiences inside outside inexhaustible game worlds runescape old school runescape pc mobile offer everevolving highlyactive worlds communityfocussed development ethos empowers players real say game shaped jagex expanding extending portfolio fresh franchise titles new ip 2018 launched jagex partners delivering thirdparty publishing operational services exclusively living games future jagex employs 360 people cambridge headquarters hunt talented people work across business help company achieve yet another year record growth player satisfaction job purpose role include working data scientists analysts product owners engineers drive data driven culture across jagex enable hypothesis driven development build reports develop kpis use predictive modelling gain deep understanding products customers main duties responsibilities work product teams identify kpis measure product performance build forecasts assist planning retrospectives collaborate data engineering teams build model deployments data pipelines use statistics analytics machine learning optimize customer experience leverage sql present accurate engaging data charts detailed analysis product owners department leads development teams build tools data services enable datadriven decision making stay date industry data science standard technologies evangelise among team relevant essential skills strong sql python skills knowledge experience training evaluating deploying machine learning models experience applied statistics quantitative research passionate games using data improve player experiences excellent communication skills ability present results people various backgrounds experiences degree stem subjects relevant experience company benefits flexible working bonus scheme private health care gym membership generous pension contributions life insurance free cycle repair income protection dental plan free fruit drinks subsidised canteen feel like fit role don ’ t meet requirements strive fresh perspectives long demonstrate attitude abilities might make gaps would welcome application ! jagex equal opportunities employer positively encourages applications suitably qualified eligible candidates regardless sex race disability age sexual orientation gender reassignment marriage civil partnership pregnancy maternity religion belief,0,0,0,0.277777778,0.5,0.222222222,important note wonderful friends followers around world jagex pausing search talented people join ranks successful robust growing business light current situation concerning coronavirus already made changes way recruit course mindful following necessary processes ensure safety staff anyone might come contact jagex switched working almost entirely remotely line recruitment selection process moved entirely remote one video calls preferred method interview hiring managers engaged wellprepared sincerely look forward talking soon team expert recruiters touch talk process changes expect delay get application today company overview leader creating deep engaging experiences pc mobile jagex founded DIGIT today one uk biggest respected video game developers publishers famed flagship mmos runescape old school runescape jagex welcomed DIGIT million player accounts world created $ DIGIT bn lifetime franchise revenue today runescape franchise exists beyond running games live operations titles living games connect inspire millions players content experiences inside outside inexhaustible game worlds runescape old school runescape pc mobile offer everevolving highlyactive worlds communityfocussed development ethos empowers players real say game shaped jagex expanding extending portfolio fresh franchise titles new ip DIGIT launched jagex partners delivering thirdparty publishing operational services exclusively living games future jagex employs DIGIT people cambridge headquarters hunt talented people work across business help company achieve yet another year record growth player satisfaction job purpose role include working data scientists analysts product owners engineers drive data driven culture across jagex enable hypothesis driven development build reports develop kpis use predictive modelling gain deep understanding products customers main duties responsibilities work product teams identify kpis measure product performance build forecasts assist planning retrospectives collaborate data engineering teams build model deployments data pipelines use statistics analytics machine learning optimize customer experience leverage sql present accurate engaging data charts detailed analysis product owners department leads development teams build tools data services enable datadriven decision making stay date industry data science standard technologies evangelise among team relevant essential skills strong sql python skills knowledge experience training evaluating deploying machine learning models experience applied statistics quantitative research passionate games using data improve player experiences excellent communication skills ability present results people various backgrounds experiences degree stem subjects relevant experience company benefits flexible working bonus scheme private health care gym membership generous pension contributions life insurance free cycle repair income protection dental plan free fruit drinks subsidised canteen feel like fit role meet requirements strive fresh perspectives long demonstrate attitude abilities might make gaps would welcome application jagex equal opportunities employer positively encourages applications suitably qualified eligible candidates regardless sex race disability age sexual orientation gender reassignment marriage civil partnership pregnancy maternity religion belief ,"(0.4, 0.6]","(0.8, 1.0]","(0.2, 0.4]"
41,desc43,Data Scientist,Entry level,R,CPS Group (UK) Limited,"Information Technology & Services,  Computer Software,  Staffing & Recruiting",1,https://www.linkedin.com/jobs/search/?currentJobId=1888701833&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25,26,shape determine deisgn nlp platform bank extension practical experience building implemtning machine learing models nlp space practical engineering experience lead small team data science nlp specialists,0,0,0,0,1,0,shape determine deisgn nlp platform bank extension practical experience building implemtning machine learing models nlp space practical engineering experience lead small team data science nlp specialists,"(0.8, 1.0]","(0.8, 1.0]","(-0.001, 0.2]"
46,desc48,Data Scientist,Entry level,E,Noriker Power Ltd,"Information Technology & Services,  Computer Software,  Financial Services",1,https://www.linkedin.com/jobs/search/?currentJobId=1764099335&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50,165,data scientistanalyst data scientist lead development trading system market analytics development creating range forecasting pricing models contract portfolio optimisation risk analysis responsibilities detailed quantitative modelling energy market fundamentals development power market data forecasting models utilising machine learning statistical techniques research uk power market real time operation balancing mechanism monitoring real time energy market information implementing automated trading practices identification value creation opportunities developing trading strategies process analysis large financial datasets apply critical creative thinking whilst considering data driven solutions broad roles business develops flexible generation projects inception operation looking smart driven analyst motivated technical challenges vision join growing dynamic company requirements proficiency python sql database experience data analysis programming experience python using libraries especially machine learning packages interest renewable energy sector crucial proven programming analytical problem solving abilities experience machine learning techniques data science solutions communication skills key you ’ ll interacting people across business well stakeholders outside engineering physical sciences grounding degree qualified stem subject valid uk driving licence desirable necessary view current openings,0,0,0,0.4,0.6,0,data scientistanalyst data scientist lead development trading system market analytics development creating range forecasting pricing models contract portfolio optimisation risk analysis responsibilities detailed quantitative modelling energy market fundamentals development power market data forecasting models utilising machine learning statistical techniques research uk power market real time operation balancing mechanism monitoring real time energy market information implementing automated trading practices identification value creation opportunities developing trading strategies process analysis large financial datasets apply critical creative thinking whilst considering data driven solutions broad roles business develops flexible generation projects inception operation looking smart driven analyst motivated technical challenges vision join growing dynamic company requirements proficiency python sql database experience data analysis programming experience python using libraries especially machine learning packages interest renewable energy sector crucial proven programming analytical problem solving abilities experience machine learning techniques data science solutions communication skills key interacting people across business well stakeholders outside engineering physical sciences grounding degree qualified stem subject valid uk driving licence desirable necessary view current openings,"(0.4, 0.6]","(0.8, 1.0]","(-0.001, 0.2]"
62,desc64,Data Scientist,Entry level,R,Antal International,"Information Technology & Services,  Human Resources,  Financial Services",0.857142857,https://www.linkedin.com/jobs/search/?currentJobId=1864131075&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50,133,job description client heart powering organisations enhanced artificial intelligence enter new dimension client development looking next generation ai dataengineering researchers analytically focused lead play key role one following design implement sophisticated ai products design build ai related engineering ip build end end multicomponent analytics solutions premise cloud including robust data pipelines scale ai algorithmsmodels production big data scale engineering component critical ai projects typical background phd studies computer scienceengineering plus one following highly passionate creating building unique box tools hands expert lead programmer incl experience handling data sql spark mandatory strong technical architecture design build skills experienced building end end solutions premise cloud strong knowledge atleast one cloud families among azure google aws ability scale algorithms production big data scale parkside recruitment ltd acting employment agency relation vacancy parkside recruitment equal opportunities employer,0,1,1,0.25,0.5,0.25,job description client heart powering organisations enhanced artificial intelligence enter new dimension client development looking next generation ai dataengineering researchers analytically focused lead play key role one following design implement sophisticated ai products design build ai related engineering ip build end end multicomponent analytics solutions premise cloud including robust data pipelines scale ai algorithmsmodels production big data scale engineering component critical ai projects typical background phd studies computer scienceengineering plus one following highly passionate creating building unique box tools hands expert lead programmer incl experience handling data sql spark mandatory strong technical architecture design build skills experienced building end end solutions premise cloud strong knowledge atleast one cloud families among azure google aws ability scale algorithms production big data scale parkside recruitment ltd acting employment agency relation vacancy parkside recruitment equal opportunities employer,"(0.4, 0.6]","(0.8, 1.0]","(0.2, 0.4]"
68,desc70,Data Scientist,Entry level,R,Blue Legal,"Marketing & Advertising,  Staffing & Recruiting,  Financial Services",0.928571429,https://www.linkedin.com/jobs/search/?currentJobId=1763840360&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75,170,data scientist location london salary £40000 £55000 contract type permanent date posted 20082019 unique opportunity arisen data scientist join global professional services institution global leaders data science field role you ’ ll join clients ’ wellestablished specialist team data science experts whose sole focus create innovative models solve challenges industry either facing face future interestingly one teams within business financial targets instead research team get choose projects work based interest responsibilities work clients business identify opportunities using data emerging technologies like ai solve challenges data wrangling cleansing exploration researching implementing custom statistical models machine learning algorithms executing proofofconcepts pilots evolve idea successful prototype solution communicating results ideas key stakeholders decision makers candidate proven experience data scientist strong proficiency python r excellent communication presentation skills familiarity cloudbased data science machine learning services apis eg microsoft azure familiarity web app dev eg using shiny knowledge sequencetosequence models use rnnslstms knowledge deep neural networks – tensorflow keras pytorch knowledge apis git blue legal offers services employment agency permanent work employment business temporary work,0,0,0,0.5,0.5,0,data scientist location london salary DIGIT DIGIT contract type permanent date posted DIGIT unique opportunity arisen data scientist join global professional services institution global leaders data science field role join clients wellestablished specialist team data science experts whose sole focus create innovative models solve challenges industry either facing face future interestingly one teams within business financial targets instead research team get choose projects work based interest responsibilities work clients business identify opportunities using data emerging technologies like ai solve challenges data wrangling cleansing exploration researching implementing custom statistical models machine learning algorithms executing proofofconcepts pilots evolve idea successful prototype solution communicating results ideas key stakeholders decision makers candidate proven experience data scientist strong proficiency python r excellent communication presentation skills familiarity cloudbased data science machine learning services apis eg microsoft azure familiarity web app dev eg using shiny knowledge sequencetosequence models use rnnslstms knowledge deep neural networks tensorflow keras pytorch knowledge apis git blue legal offers services employment agency permanent work employment business temporary work,"(0.4, 0.6]","(0.8, 1.0]","(-0.001, 0.2]"
84,desc86,Data Scientist,Entry level,E,Hampshire Hospitals NHS Foundation Trust,"Staffing & Recruiting,  Health & Wellness & Fitness,  Hospital & Health Care",1,https://www.linkedin.com/jobs/search/?currentJobId=1893343843&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100,353,in october 2019 government announced health infrastructure plan longterm rolling fiveyear programme investment health infrastructure including capital build new hospitals modernise primary care estate invest new diagnostics technology help eradicate critical safety issues nhs estate hampshire hospitals nhs foundation trust hhft part phase 2 plan modernising hospitals health infrastructure mohhi programme given green light go next stage developing plans aim ready deliver 20252030 exciting opportunity part developing new state art hospital health infrastructure population north mid hampshire senior member business intelligence team post holder lead provision strategic analytical support conjunction mohhi programme corporate departments also develop complex information reporting tools presenting detailed analysis activity performance trends providing expert analytical statistical advice clinicians operational staff mohhi programme team trust executive board look someone analyse interpret highly complex patient workforce activity data support levels management clinicians operational staff performance management day day operations well strategic development capacity planning short term planning well mohhi programme team long term planning investigate resolve highly complex analytical queries undertake detailed analysis provide expert analytical interpretation data outputs trends provide structure training modelling tools colleagues business intelligence wide trust system work proactively within mohhi programme workstream structure offer support training regards data standards work part mohho business intelligence teams participate development business intelligence reporting tool exciting opportunity involved development trusts long term vision work part business intelligence team reports trusts performance national standards leads compliance national returns provides analytic support clinical corporate divisions executive teams also maintains reporting tool used within trust team includes technical team maintain build software tools underpin business intelligence provision business intelligence analysts team clinical coding team trust vision hampshire hospitals nhs foundation trust provide outstanding care every patient serve population nearly 600000 people across hampshire west berkshire well people access specialist services across country created january 2012 foundation trust prioritises provision exceptional compassionate care delivered valued staff working culture collaboration mutual respect hhft employs circa 6000 people turnover £420m 1819 four core values care compassion accountability respect encourage place support four clear objectives provide outstanding care patients empowering members staff sustainable growth innovating future details informal visits contact diane maunder head business intelligence 01256 852629,0,0,0,0.071428571,0.785714286,0.142857143,in october DIGIT government announced health infrastructure plan longterm rolling fiveyear programme investment health infrastructure including capital build new hospitals modernise primary care estate invest new diagnostics technology help eradicate critical safety issues nhs estate hampshire hospitals nhs foundation trust hhft part phase DIGIT plan modernising hospitals health infrastructure mohhi programme given green light go next stage developing plans aim ready deliver DIGIT exciting opportunity part developing new state art hospital health infrastructure population north mid hampshire senior member business intelligence team post holder lead provision strategic analytical support conjunction mohhi programme corporate departments also develop complex information reporting tools presenting detailed analysis activity performance trends providing expert analytical statistical advice clinicians operational staff mohhi programme team trust executive board look someone analyse interpret highly complex patient workforce activity data support levels management clinicians operational staff performance management day day operations well strategic development capacity planning short term planning well mohhi programme team long term planning investigate resolve highly complex analytical queries undertake detailed analysis provide expert analytical interpretation data outputs trends provide structure training modelling tools colleagues business intelligence wide trust system work proactively within mohhi programme workstream structure offer support training regards data standards work part mohho business intelligence teams participate development business intelligence reporting tool exciting opportunity involved development trusts long term vision work part business intelligence team reports trusts performance national standards leads compliance national returns provides analytic support clinical corporate divisions executive teams also maintains reporting tool used within trust team includes technical team maintain build software tools underpin business intelligence provision business intelligence analysts team clinical coding team trust vision hampshire hospitals nhs foundation trust provide outstanding care every patient serve population nearly DIGIT people across hampshire west berkshire well people access specialist services across country created january DIGIT foundation trust prioritises provision exceptional compassionate care delivered valued staff working culture collaboration mutual respect hhft employs circa DIGIT people turnover DIGIT m DIGIT four core values care compassion accountability respect encourage place support four clear objectives provide outstanding care patients empowering members staff sustainable growth innovating future details informal visits contact diane maunder head business intelligence DIGIT DIGIT ,"(0.6, 0.8]","(0.8, 1.0]","(-0.001, 0.2]"
99,desc101,Data Scientist,Entry level,E,Close Brothers,"Information Technology & Services,  Banking,  Financial Services",0.95,https://www.linkedin.com/jobs/search/?currentJobId=1881000422&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100,437,data scientist 6 month maternity cover london crown place competitive basic wednesday 24 june 2020 role bank insight experience design ixd team supports educates business design deliver experiences customers partners employees using insight driven user centric design approach team challenges business agile place focus design uses data technology enabler driving innovation personalisation close brothers focussed delivering top customer service customers partners views data science way enhance personalise proposition data scientist work bank businesses functions generating actionable customer partner insight achieved analysing bank external data building advanced predictive models furthermore work promote increase adoption data analytics across bank key responsibilities general deliver data analytics strategic projects across banking division work head analytics businesses define agree project scopes approach focus predicting customer partner behaviours work time series analysis deliver price optimisation including ab testing deliver contact centre optimisation provide ad hoc analysis ixd team required project work document present project findings easy understand way nontechnical audiences iterate models project documentation based feedback stakeholders focus findings greatest customer partner commercial impact impact way bank could improve operations deliver better outcomes customers partners embed data analytics work business intelligence teams transfer predictive models analysis business usual bau provide support local business teams post model analysis transfer work head analytics promote increase adoption data analytics across bank investigate evaluate new data analysis tools systems promote new approaches modelling techniques relevant active member bank wide analytics working group coach people across business improve analytics insight approach skills risk compliance ensure governance compliance requirements adhered reporting reviewing activities required regulatory bodies carried standards required skills experience essential deep understanding methods underlying predictive modelling statistical analysis experience working machine learning problems classification regression proven ability deliver complex analytics projects inception completion proficiency programming either python r experience data wrangling using standard libraries pandas dplyr similar passionate data modelling could used improve customer experience business performance communication persuasion skills ability think quickly package ideas results logical understandable compelling way technical nontechnical audiences ability work independently desirable experience using selfservice analytics tools like alteryx sql skills data manipulation experience designing experiments experience using visualisation libraries seaborn matplotlib ggplot similar experience version control git financial services experience rewards benefits close brothers recognise value work life balance put together benefits package reflects discretionary annual bonus pension – group stakeholder pension plan provided friends life 53 employee 10 employer contribution life assurance – 4 times annual salary private medical healthcare annual leave – minimum 25 days standard opportunity buy 5 days ’ additional annual leave every march plus benefits including competitive family friendly offering information available upon request agencies contact hiring manager directly regarding role removed psl banned moving forward,0,0,0,0.125,0.625,0.25,data scientist DIGIT month maternity cover london crown place competitive basic wednesday DIGIT june DIGIT role bank insight experience design ixd team supports educates business design deliver experiences customers partners employees using insight driven user centric design approach team challenges business agile place focus design uses data technology enabler driving innovation personalisation close brothers focussed delivering top customer service customers partners views data science way enhance personalise proposition data scientist work bank businesses functions generating actionable customer partner insight achieved analysing bank external data building advanced predictive models furthermore work promote increase adoption data analytics across bank key responsibilities general deliver data analytics strategic projects across banking division work head analytics businesses define agree project scopes approach focus predicting customer partner behaviours work time series analysis deliver price optimisation including ab testing deliver contact centre optimisation provide ad hoc analysis ixd team required project work document present project findings easy understand way nontechnical audiences iterate models project documentation based feedback stakeholders focus findings greatest customer partner commercial impact impact way bank could improve operations deliver better outcomes customers partners embed data analytics work business intelligence teams transfer predictive models analysis business usual bau provide support local business teams post model analysis transfer work head analytics promote increase adoption data analytics across bank investigate evaluate new data analysis tools systems promote new approaches modelling techniques relevant active member bank wide analytics working group coach people across business improve analytics insight approach skills risk compliance ensure governance compliance requirements adhered reporting reviewing activities required regulatory bodies carried standards required skills experience essential deep understanding methods underlying predictive modelling statistical analysis experience working machine learning problems classification regression proven ability deliver complex analytics projects inception completion proficiency programming either python r experience data wrangling using standard libraries pandas dplyr similar passionate data modelling could used improve customer experience business performance communication persuasion skills ability think quickly package ideas results logical understandable compelling way technical nontechnical audiences ability work independently desirable experience using selfservice analytics tools like alteryx sql skills data manipulation experience designing experiments experience using visualisation libraries seaborn matplotlib ggplot similar experience version control git financial services experience rewards benefits close brothers recognise value work life balance put together benefits package reflects discretionary annual bonus pension group stakeholder pension plan provided friends life DIGIT employee DIGIT employer contribution life assurance DIGIT times annual salary private medical healthcare annual leave minimum DIGIT days standard opportunity buy DIGIT days additional annual leave every march plus benefits including competitive family friendly offering information available upon request agencies contact hiring manager directly regarding role removed psl banned moving forward,"(0.6, 0.8]","(0.8, 1.0]","(0.2, 0.4]"
102,desc104,Data Scientist,Entry level,R,Metrica Recruitment,"Information Technology & Services,  Computer Software,  Financial Services",0.736842105,https://www.linkedin.com/jobs/search/?currentJobId=1826688230&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125,158,the company recently named one britain ’ s fastest growing tech firms company forefront data technology fashion retail space using fashionspecific ai expert knowledge proprietary data looking deliver prediction platform offer clients ability predict customer behaviours fashion trends optimise personalise shopping journeys role data science core company ’ s offering role would responsible designing improving company ’ s recommendation algorithms models work directly impact end consumer personalising shoppers experience instore online involved datamining machine learning graph analysis techniques variety modelling problems involving customers relationships fashion preferences well building scalable statistical models learn large volumes data produce realworld value important aspect designing new algorithms rolled offering don ’ t apply existing algorithms heavily involved creating new ones essential skills masters phd relevant studies eg maths statistics computer science machine learning etc least one years ’ experience developing machine learning statistical models strong sql skills least one python r java c ruby job owner dprosser tagged aws python r sql,1,1,1,0.4,0.4,0.2,the company recently named one britain fastest growing tech firms company forefront data technology fashion retail space using fashionspecific ai expert knowledge proprietary data looking deliver prediction platform offer clients ability predict customer behaviours fashion trends optimise personalise shopping journeys role data science core company offering role would responsible designing improving company recommendation algorithms models work directly impact end consumer personalising shoppers experience instore online involved datamining machine learning graph analysis techniques variety modelling problems involving customers relationships fashion preferences well building scalable statistical models learn large volumes data produce realworld value important aspect designing new algorithms rolled offering apply existing algorithms heavily involved creating new ones essential skills masters phd relevant studies eg maths statistics computer science machine learning etc least one years experience developing machine learning statistical models strong sql skills least one python r java c ruby job owner dprosser tagged aws python r sql,"(0.2, 0.4]","(0.6, 0.8]","(-0.001, 0.2]"
