,index,0,bb,bt,tt
0,1784,"a competitive salary alongside a range of benefits including
generous holiday entitlement - 24 days holiday each year plus bank holidays - rising to 32 days after 10 years' service, with the option to buy additional leave
a wide range of flexible working opportunities
modern working environment at the civic offices in the heart of reading
(lgps)
on-site day nursery (kennet day nursery) rated outstanding by ofsted, and a salary sacrifice scheme to help lower the cost of your nursery fees
season ticket loan - to help with the cost of your rail/ bus journey, to & from work
lease car salary sacrifice scheme allowing you to lease a brand new, greener car for three years.",0,0,0
1,891,"after this time, you may continue your career with fdm or join the client as a permanent member of their team.",0,0,0
2,97,"able to work as part of a team and communicate effectively with all levels and disciplines
have a graduate qualification in an analytical or science-based discipline e.g.",0,0,0
3,847,"if you have a mischievous spark of fun, that’s even better.",0,0,0
4,1981,"operational effectiveness & control
hsbcs adherence to the requirements of the deferred prosecution agreement (dpa)
create and deliver analytical solutions that are fully documented and explained that meet the business aims/requirements.",0,2,0
5,406,·collaborate with other members ai & automation and clients.,0,1,0
6,2687,"we do not discriminate based on race, ethnicity, colour, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.",0,0,0
7,1815,"no applicant shall receive less favourable treatment on the grounds of sex, marital status, civil partnership status, trans-gender status, pregnancy, maternity, race, nationality, ethnic origin, religion, belief, sexual orientation, disability, age.",0,0,0
8,1064,we are growing an organic customer base where users feel inspired to share with their friends and family.,0,0,0
9,113,"from extracting reports from excel and simulating algorithms through data analytics tools, they assist businesses in gaining a wider insight into their current situation, drawing conclusions and determining informed decisions and strategy to improve their business.",0,2,0
10,1433,any move to the department for international trade will mean you will no longer be able to carry on claiming childcare vouchers.,0,0,0
11,631,"you will be part of the multidisciplinary diagnostic science team comprising of computational biologists, machine learning experts, software engineers, postdoctoral researchers, disease area specialists and clinician experts contributing novel ideas and developing prototypes of algorithms and analytical approaches impacting current and future patient journeys.",0,1,1
12,1045,we offer a fantastic working environment in the heart of shoreditch and are spoilt for choice for venues to host our regular social events.,0,0,0
13,28,"proactively develop new analyses, experiments and data-driven tools to better understand our players’ behaviour and the performance of our games
provide insights to support decision making for the portfolio of games in the studio
translate business needs to technical requirements and ab-tests, and work with development teams to ensure correct implementation, taking care to correctly track the right information to allow easy, precise analysis of the impact
work closely with other data scientists across the business to leverage insights from one game across multiple games
carefully check, debug, and problem solve issues to ensure you deliver accurate and clear analysis, reports and tools, even when confronted by subtle data complications
skills to create thrills

role

specific factors that are helpful to excel in this role include

there is plenty of scope at king for you to learn from your colleagues in the areas where you have less experience, and to share your own skills where you are stronger.",0,1,0
14,2643,masters or phd desirable.,0,0,0
15,2703,"you will be solving some of the biggest challenges in a variety of sectors, one month it could be with a large bank, the next a biotech startup looking to change how we interact with the people around us.",1,1,0
16,1149,"the post-holder will work closely with a multi-disciplinary team of programmers, statisticians, epidemiologists, research and administrative staff and will report to uk biobank’s senior data analyst based in cheadle.",0,0,0
17,1838,please submit your cv for consideration.,0,0,0
