,word,nan,Mid-Senior level,Entry level,Associate,Director,Executive,Total,Business,Technical,Supportive,Skills,Skills I have
3313,1,,,11,,,,11,,,,,
594,2,,5,15,1,,,21,,,,,
613,3,,7,18,4,,,29,,,,,
623,4,,3,8,3,,,14,,,,,
629,5,,10,12,1,,,23,,,,,
633,6,,1,9,,,,10,,,,,
6555,7,,,,1,1,,2,,,,,
639,8,,1,1,,,,2,,,,,
3440,9,,,1,,,,1,,,,,
584,10,,1,16,,,,17,,,,,
3320,11,,,1,,,,1,,,,,
589,12,,1,5,2,,,8,,,,,
3338,13,,,1,,,,1,,,,,
3340,14,,,2,,,,2,,,,,
591,15,,1,2,,,,3,,,,,
3346,16,,,3,,,,3,,,,,
3348,17,,,1,,,,1,,,,,
3350,18,,,1,,,,1,,,,,
3355,19,,,1,,,,1,,,,,
595,20,,2,9,,,,11,,,,,
3372,21,,,3,1,,,4,,,,,
3373,22,,,2,,,,2,,,,,
3374,24,,,3,,,,3,,,,,
610,25,,6,19,1,,,26,,,,,
3376,26,,,2,1,,,3,,,,,
3380,28,,,1,1,,,2,,,,,
3381,29,,,2,,,,2,,,,,
614,30,,1,2,,,,3,,,,,
3390,32,,,2,,,,2,,,,,
3391,34,,,1,,,,1,,,,,
618,35,,2,2,,,,4,,,,,
1,40,1,,1,,,,2,,,,,
624,42,,1,,,,,1,,,,,
625,44,,1,,,,,1,,,,,
627,45,,2,1,,,,3,,,,,
3404,47,,,1,,,,1,,,,,
630,50,,1,1,,,,2,,,,,
3410,53,,,1,,,,1,,,,,
3412,54,,,1,,,,1,,,,,
3417,60,,,1,1,,,2,,,,,
3429,70,,,1,1,,,2,,,,,
3430,72,,,1,,,,1,,,,,
6556,74,,,,1,,,1,,,,,
3431,75,,,2,,,,2,,,,,
3435,80,,,1,,,,1,,,,,
6557,88,,,,1,,,1,,,,,
3443,95,,,1,,,,1,,,,,
3444,99,,,1,,,,1,,,,,
585,100,,4,8,1,,,13,,,,,
587,105,,1,,,,,1,,,,,
3318,107,,,1,1,,,2,,,,,
3304,121,,,1,,,,1,,,,,
3339,130,,,1,,,,1,,,,,
3342,147,,,1,,,,1,,,,,
3343,150,,,1,,,,1,,,,,
592,152,,1,,,,,1,,,,,
6549,158,,,,1,,,1,,,,,
3351,180,,,1,,,,1,,,,,
596,200,,2,2,,,,4,,,,,
581,203,,1,1,,,,2,,,,,
609,247,,1,2,,,,3,,,,,
611,250,,1,1,,,,2,,,,,
3387,300,,,4,,,,4,,,,,
615,301,,1,,,,,1,,,,,
3393,360,,,1,,,,1,,,,,
3394,375,,,1,,,,1,,,,,
628,495,,1,,,,,1,,,,,
3406,500,,,2,1,,,3,,,,,
3409,510,,,1,,,,1,,,,,
631,555,,1,,,,,1,,,,,
3415,599,,,1,,,,1,,,,,
3420,616,,,1,,,,1,,,,,
634,638,,1,,,,,1,,,,,
3432,762,,,1,,,,1,,,,,
637,763,,1,,,,,1,,,,,
3310,800,,,1,,,,1,,,,,
6964,810,,,,,,1,1,,,,,
3441,900,,,1,,,,1,,,,,
3314,1000,,,1,,,,1,,,,,
3321,1100,,,1,,,,1,,,,,
3326,1212,,,1,,,,1,,,,,
3305,1256,,,1,,,,1,,,,,
3344,1500,,,1,,,,1,,,,,
3347,1600,,,1,,,,1,,,,,
3352,1800,,,1,,,,1,,,,,
3354,1819,,,1,,,,1,,,,,
3356,1900,,,1,,,,1,,,,,
6551,1933,,,,1,,,1,,,,,
3358,1992,,,1,,,,1,,,,,
3362,2000,,,2,,,,2,,,,,
3364,2001,,,1,,,,1,,,,,
597,2007,,1,,,,,1,,,,,
598,2009,,1,1,,,,2,,,,,
599,2010,,1,5,1,,,7,,,,,
3366,2011,,,1,,,,1,,,,,
3367,2012,,,3,,,,3,,,,,
600,2014,,1,1,,,,2,,,,,
3368,2015,,,1,,,,1,,,,,
601,2016,,1,3,,,,4,,,,,
602,2018,,2,2,,,,4,,,,,
603,2019,,1,4,1,,,6,,,,,
604,2020,,6,8,2,,,16,,,,,
605,2021,,1,,1,,,2,,,,,
606,2025,,1,,,,,1,,,,,
608,2337,,1,,,,,1,,,,,
3375,2500,,,2,,,,2,,,,,
3378,2667,,,1,,,,1,,,,,
3379,2731,,,1,,,,1,,,,,
3307,2920,,,1,,,,1,,,,,
3388,3000,,,2,,,,2,,,,,
616,3035,,1,,,,,1,,,,,
3392,3477,,,1,,,,1,,,,,
619,3550,,1,,,,,1,,,,,
6553,3625,,,,1,,,1,,,,,
620,3888,,1,,,,,1,,,,,
3402,4100,,,1,,,,1,,,,,
3418,6000,,,1,,,,1,,,,,
583,7704,,1,,,,,1,,,,,
3309,7867,,,1,,,,1,,,,,
641,9931,,1,,,,,1,,,,,
3315,10000,,,1,,,,1,,,,,
3345,15000,,,1,,,,1,,,,,
3401,40000,,,1,,,,1,,,,,
3403,46000,,,1,,,,1,,,,,
3407,50000,,,1,,,,1,,,,,
3411,53934,,,1,,,,1,,,,,
3413,55900,,,1,,,,1,,,,,
3422,62500,,,1,,,,1,,,,,
3423,65000,,,1,,,,1,,,,,
3442,90000,,,1,,,,1,,,,,
3316,100000,,,1,,,,1,,,,,
3323,115000,,,1,,,,1,,,,,
3327,125855,,,1,,,,1,,,,,
3328,128075,,,1,,,,1,,,,,
3332,128640,,,1,,,,1,,,,,
3333,128736,,,1,,,,1,,,,,
3334,129299,,,1,,,,1,,,,,
3335,129406,,,1,,,,1,,,,,
593,160582,,1,,,,,1,,,,,
6550,165000,,,,1,,,1,,,,,
3353,180000,,,1,,,,1,,,,,
3363,200000,,,2,,,,2,,,,,
626,440203,,1,,,,,1,,,,,
3408,500000,,,2,,,,2,,,,,
3419,600000,,,1,,,,1,,,,,
3437,852629,,,1,,,,1,,,,,
3438,895074,,,1,,,,1,,,,,
3369,2016679,,,1,,,,1,,,,,
3395,3807819,,,1,,,,1,,,,,
3308,6052020,,,1,,,,1,,,,,
3311,8316342,,,1,,,,1,,,,,
3324,12052020,,,1,,,,1,,,,,
3325,12062020,,,1,,,,1,,,,,
3341,14086930,,,1,,,,1,,,,,
3365,20082019,,,1,,,,1,,,,,
3370,20252030,,,1,,,,1,,,,,
6558,90012015,,,,1,,,1,,,,,
582,2037633888,,1,,,,,1,,,,,
3306,2072598746,,,1,,,,1,,,,,
3330,1.28E+11,,,1,,,,1,,,,,
6539,…,,,1,,,,1,,,,,
6540,…are,,,1,,,,1,,,,,
6541,…have,,,3,,,,3,,,,,
6542,…like,,,1,,,,1,,,,,
6543,…think,,,1,,,,1,,,,,
3301,•,,47,11,,,,58,,,,,
6954,​,,,,2,,,2,,,,,
6536,‍,,,2,,,,2,,,,,
6537,‍♂️,,,1,,,,1,,,,,
577,–,3,11,70,18,,,102,,,,,
6538,—,,,1,,,,1,,,,,
3298,—to,,1,,,,,1,,,,,
6544,√,,,16,,,,16,,,,,
578,‘,1,2,16,6,,,25,,,,,
579,’,9,92,246,71,1,1,420,,,,,
